Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Synthetic Fibres,Acrylic Fibre,36339,60959,39238,53809,36771,44394,32184,46549,40475,71158,56316,84841,41928,53586,35164,76074
Synthetic Fibres,Nylon Filament Yarn,27813,59448,28972,54485,31063,53352,22731,43317,23259,52088,24476,49669,17058,34533,25307,60951
Synthetic Fibres,Nylon Industrial Yarn/Tyre Cord,3750,7035,4411,6803,7741,10247,6566,10070,8108,16323,6893,11802,9459,15174,11445,31261
Synthetic Fibres,Polyester Filament Yarn,72718,89105,72605,86166,84367,92492,82784,100756,83954,118045,115170,129162,238680,197017,295709,343248
Synthetic Fibres,Polyester Staple Fibre,81864,71552,99719,73357,99809,70113,88990,71053,91775,89685,118176,94729,84273,64616,78310,78489
Synthetic Fibres,Polypropylene Filament Yarn,716,1002,697,1001,695,850,1343,1715,1362,2007,670,954,755,1418,315,975
Synthetic Fibres,Polypropylene Staple Fibre,329,461,1885,1997,2016,2181,3281,3378,3333,3863,2778,3097,2164,2316,2986,4218
Synthetic Fibres,Elastomeric/Spandex Filament Yarn,12061,56643,16247,68750,17531,69364,21753,86241,23351,100187,22121,86629,8956,42041,11141,83304
Fibre Intermediates,Acrylonitrile,97388,118956,160202,121692,139709,108192,159778,172707,182234,244043,175867,200713,135230,121075,175763,298158
Fibre Intermediates,Caprolactum,32276,43571,44577,45299,52906,50601,58413,75965,66497,99336,68049,75256,57649,55553,60061,94382
Fibre Intermediates,Dimethyl Terephthalate,2094,1594,2216,1400,1761,1051,2256,1520,1455,1137,1807,1199,1766,982,1973,1567
Fibre Intermediates,Mono Ehylene Glycol,1003540,550364,1111582,539689,1235385,604838,1066477,584695,634714,371592,787574,312149,621221,226286,917787,471777
Fibre Intermediates,Purified Terephthalic Acid,1044572,559180,696842,318046,412468,178454,521501,237444,569756,340774,886358,470167,625460,245629,1471142,847400
Polymers,Low Density Polyethylene,325901,295717,374761,313547,391501,330125,464591,398992,341063,310441,352372,282510,256287,208489,222431,268779
Polymers,High Density Polythylene,842892,811233,921743,798927,1000457,824364,993072,840665,902265,872720,787964,634354,810467,648402,827307,863139
Polymers,Polyestyrene,39647,50104,42514,47364,44374,54225,52790,64224,56312,69827,54371,62759,69916,81878,65664,121494
Polymers,Polypropylene (Inc. Co-Polymer),611673,589950,700914,574265,781188,611882,938998,762085,854828,837001,994615,853958,854399,746492,1136898,1290866
Polymers,Expandable Polyestyrene,3113,3441,2981,2723,3779,3554,2644,2744,1241,1611,1037,1184,4684,4308,5511,6709
Polymers,Poly Vinyl Chloride,1293338,854467,1501311,878823,1702852,1015835,1846296,1123738,2037570,1354121,928376,587544,419309,300980,460352,508138
Polymers,Linear Low Density Polythylene,550109,515931,590015,459471,469075,381387,425112,335698,276313,228745,311445,217054,226310,151723,223153,208037
Polymers,Pvc Compound,70125,56225,79783,57368,59032,45858,27975,21140,9537,10363,0,0,0,0,177,53
Synthetic Rubber (Elastomers),Styrene Butadiene Rubber,223549,264399,172802,155614,149559,155436,132989,161301,123010,156987,102738,118659,152373,149081,169618,256501
Synthetic Rubber (Elastomers),Poly Butadiene Rubber,70471,79518,74646,63210,84910,93064,94772,122673,104671,138315,97712,107321,114961,113497,109987,167151
Synthetic Rubber (Elastomers),Ethyl Propylene Dimers,33348,54653,39370,60759,43411,54947,45099,59035,52800,80061,45465,59429,41810,52572,48943,101663
Synthetic Rubber (Elastomers),Ethyl Vinyl Acetate,139414,155970,165264,162033,144604,141686,183348,184503,178684,202884,193671,212988,189581,212461,182004,383881
Synthetic Rubber (Elastomers),Nitrile Butadiene Rubber,26719,44760,51937,44391,36451,45999,40310,63203,38519,73014,41179,60140,158510,52408,38508,78806
Synthetic Rubber (Elastomers),Butyl Rubber,84899,159649,92082,126683,100984,136910,111349,151035,120816,200157,94067,151010,90043,138841,86078,156123
Synthetic Detergent Intermediates,Linear Alkyl Benzene,133994,137918,217997,176537,228092,177675,205910,163748,227111,210012,264026,236771,265392,215927,277724,333278
Synthetic Detergent Intermediates,Ethylene Oxide,41,543,100,952,137,1328,74,785,25,416,32,655,14,331,104,2882
Performance Plastics,Abs Resin,69910,94132,90081,100935,102685,114201,98026,131230,119398,173631,104643,126833,98848,129553,112791,210059
Performance Plastics,Nylon-6,133891,237580,144545,218291,158810,233711,175945,299915,215718,430268,217382,345202,0,0,0,0
Performance Plastics,Polymethyl Methacrylate,15367,21697,20309,30401,27175,35588,29994,47445,29540,55142,29331,45525,31774,44980,25928,51293
Performance Plastics,Styrene Acrylonitrile,6411,7884,9569,9061,8542,8299,9430,10630,9188,11431,10452,11103,13347,14631,20468,29048
Performance Plastics,Polyester Chips/Pet Chips,167015,123074,122206,74948,117996,68960,266358,113614,307111,199059,375865,233917,151926,85030,120110,80693
Performance Plastics,Polytetrafluoroethylene(Ptfe),2172,12000,2086,12211,2234,11511,2939,18213,2896,22190,2904,19880,3063,19623,3226,23817
Olefins,Butadiene,3223,2823,994,706,2105,1657,2859,3104,1048,1363,14,82,29,108,24,138
Olefins,Ethylene,43905,38467,21050,14753,80917,57116,39119,32795,60583,50604,64816,43283,39902,28526,62387,49807
Olefins,Propylene,2127,2691,3354,4718,431,1878,8813,7384,8069,5879,11027,7646,3944,5324,29469,26248
Aromatics,Benzene,47,35,0,5,0,8,60,66,22264,12820,11153,5330,19212,8254,4195,2724
Aromatics,Mixed Xylene,1647,1155,108,96,113,125,2424,1200,641,433,122,139,524,293,40,60
Aromatics,Ortho-Xylene,35697,23547,34502,16871,26275,14609,15730,8337,22974,15464,16382,9962,25136,11309,16390,11452
Aromatics,Toluene,287877,183823,343662,163765,392749,183101,414144,194854,438055,235492,464497,238119,601835,238357,500323,315330
Aromatics,Paraxylene,698204,504004,826053,452311,1195515,667002,888660,504091,836490,646003,835381,519284,653779,283883,603417,412965
Other Petro-Based Chemicals,Ethylene Dichloride,465292,117028,600033,104976,503987,86304,713334,108450,581677,141440,780433,182591,632881,150504,625955,379706
Other Petro-Based Chemicals,Butanol,56954,42657,62512,31380,57959,26234,53679,30719,48955,35342,58865,33488,43270,27054,29060,35970
Other Petro-Based Chemicals,Oxo Alcohol,1285,3866,1270,4347,3186,6713,2272,6324,2696,7376,2873,6210,2798,4355,3088,5707
Other Petro-Based Chemicals,2-Ethyl Hexanol,134894,117375,109095,66012,66867,37312,58129,39652,54107,44522,81656,56216,56250,38505,13840,19050
Other Petro-Based Chemicals,Vinyl Chloride Monomer,317925,178829,349371,167169,344423,177368,484390,247256,457532,252913,511166,280807,479876,315306,581809,552782
Other Petro-Based Chemicals,Epichlohydrine,33588,33629,43383,37643,48112,34563,56024,51446,65013,83311,61163,72337,55202,58174,66405,118899
Other Petro-Based Chemicals,Iso Butylene,13010,12222,15853,10526,20051,14133,48702,36009,44558,40254,10787,7475,1806,1231,54,143
Other Petro-Based Chemicals,Metaxylene,946,902,3064,2755,2667,2600,2078,2064,2943,3306,1910,1991,2711,2492,4726,4208
Other Petro-Based Chemicals,Methyl Isobutyl Ketone,23243,26643,27576,22104,22487,17388,34684,31270,33932,29589,29977,18245,30744,31945,37198,62842
Other Petro-Based Chemicals,Pib,11290,16394,14367,17322,16034,16949,15041,16964,16287,20089,16125,19857,16396,18107,18485,24889
Other Petro-Based Chemicals,Polycarbonate,124555,189828,138535,207756,138365,204195,158944,256209,190435,369272,175692,263317,179111,267899,211794,475954
Other Petro-Based Chemicals,Propylene Oxide,22914,25917,25552,25697,23064,21699,23446,23594,26800,30694,20160,20127,17361,22038,20504,32293
Other Petro-Based Chemicals,Propylene Glycol,48749,50720,54045,46881,51339,39956,57333,49579,66498,69089,67372,54615,59532,55321,62175,129778
Other Petro-Based Chemicals,Polyvinyl Acetate Resin,4003,8300,3209,5941,3043,3829,3448,5059,2713,3894,3578,4955,3818,4871,4451,7998
Other Petro-Based Chemicals,Unsaturated Polyster Resin,28855,33910,30303,36568,39975,42255,49888,53751,42954,59992,48616,58735,49482,58712,48099,98713
Other Petro-Based Chemicals,Ethyl Benzene,128,182,150,146,308,267,351,320,719,806,463,471,500,490,947,1247
Other Petro-Based Chemicals,Cellulose Acetate Butyrate,1,5,2,12,3,18,3,10,0,0,12,18,19,14,57,106
Other Petro-Based Chemicals,Cellulose Acetate Sheet,1260,749,1295,775,1066,564,1346,921,1516,1122,1356,1013,1311,1059,1645,1632
Other Petro-Based Chemicals,Cellulose Nitrate Sheet,263,467,88,260,75,250,99,327,106,396,75,270,1243,538,521,366
Other Petro-Based Chemicals,Melamine Moulding Powder,10081,12356,11872,13961,12997,15304,14699,16993,15280,20127,14945,18772,11992,15425,13559,23132
Other Petro-Based Chemicals,Polyacetal Resin,32605,29992,35212,34173,37883,37829,43672,43617,48759,59046,47673,53004,49011,56158,48878,72046
Other Petro-Based Chemicals,Phthalic Anhydride,52350,39837,79803,44118,92058,53567,130440,86282,144801,107477,174482,110039,140781,80887,121211,91699
Other Petro-Based Chemicals,Styrene,617800,543696,717696,516539,729627,557571,789273,654655,817779,744118,876922,610879,738149,459419,888499,799875
Other Petro-Based Chemicals,Vinyl Actate Monomer,139553,114477,141649,88260,162004,87159,184964,117193,171353,135851,162866,98977,138364,88247,178958,252872
Other Petro-Based Chemicals,Isopropanol,63194,51016,87606,47646,97262,55519,110464,71816,141113,98531,154095,83539,186792,164736,135446,112481
Other Petro-Based Chemicals,Polyol,167916,246352,186239,243011,175766,225387,218541,281622,248491,350672,239755,330380,169499,228580,174008,352016
Total Import Of Major Petrochemicals,Total Import Of Major Petrochemicals,10704840,8844609,11665712,8170211,12128783,8523103,12843131,9495959,12356030,10825921,12222311,9101336,10210873,7159554,11731702,12009342
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
